Estado,Cidade,Bairros
MT,Sorriso,Genérico
MT,Sorriso,Rota do Sol
MT,Sorriso,São Domingos
MT,Tabaporã,Centro
MT,Tabaporã,Genérico
MT,Tabaporã,Mercedes
MT,Tangará da Serra,Centro
MT,Tangará da Serra,Genérico
MT,Tangará da Serra,Parque das Mansões
MT,Tangará da Serra,Parque Leblon
MT,Tangará da Serra,São Jorge
MT,Tangará da Serra,Triângulo
MT,Tapurah,Centro
MT,Tapurah,Genérico
MT,Tapurah,Ipiranga
MT,Terra Nova do Norte,Centro
MT,Terra Nova do Norte,Décima Agrovila
MT,Terra Nova do Norte,Genérico
MT,Terra Nova do Norte,Miraguai do Norte
MT,Terra Nova do Norte,Nona Agrovila
MT,Tesouro,Centro
MT,Tesouro,Genérico
MT,Torixoréu,Centro
MT,Torixoréu,Genérico
MT,União do Sul,Centro
MT,União do Sul,Genérico
MT,Vale de São Domingos,Centro
MT,Vale de São Domingos,Genérico
MT,Várzea Grande,Água Vermelha
MT,Várzea Grande,Alameda
MT,Várzea Grande,Alto da Boa Vista
MT,Várzea Grande,Área Rural de Várzea Grande
MT,Várzea Grande,Canelas
MT,Várzea Grande,Capão do Pequi
MT,Várzea Grande,Cassira Lúcia
MT,Várzea Grande,Centro Norte
MT,Várzea Grande,Centro Sul
MT,Várzea Grande,Centro-Norte
MT,Várzea Grande,Centro-Sul
MT,Várzea Grande,Chapéu Do Sol
MT,Várzea Grande,Cidade Alta
MT,Várzea Grande,Cidade Nova Hollywood
MT,Várzea Grande,Cohab Cristo Rei
MT,Várzea Grande,Colinas Verdejantes
MT,Várzea Grande,Construmat
MT,Várzea Grande,Coophamil
MT,Várzea Grande,Costa Verde
MT,Várzea Grande,Cristo Rei
MT,Várzea Grande,Figueirinha
MT,Várzea Grande,Frutal De Minas
MT,Várzea Grande,Genérico
MT,Várzea Grande,Glória
MT,Várzea Grande,Guarita Ii
MT,Várzea Grande,Ikaray
MT,Várzea Grande,J. Carlos Guimarães
MT,Várzea Grande,Jardim Aeroporto
MT,Várzea Grande,Jardim America
MT,Várzea Grande,Jardim dos Estados
MT,Várzea Grande,Jardim Eldorado
MT,Várzea Grande,Jardim Glória Ii
MT,Várzea Grande,Jardim Gloria L
MT,Várzea Grande,Jardim Imperador
MT,Várzea Grande,Jardim Imperial
MT,Várzea Grande,Jardim Itororo
MT,Várzea Grande,Jardim Manaira
MT,Várzea Grande,Jardim Maringa
MT,Várzea Grande,Jardim Ouro Verde
MT,Várzea Grande,Jardim Paula I
MT,Várzea Grande,Jardim Paula Ii
MT,Várzea Grande,Jardim Potiguar
MT,Várzea Grande,Jardim Vista Alegre
MT,Várzea Grande,Jeanne
MT,Várzea Grande,José Carlos Guimarães
MT,Várzea Grande,Loteamento Jardim Paula Iii
MT,Várzea Grande,Manga
MT,Várzea Grande,Mapim
MT,Várzea Grande,Marajoara
MT,Várzea Grande,Mirante Do Pary
MT,Várzea Grande,Nossa Sra. Da Guia
MT,Várzea Grande,Nova Esperança
MT,Várzea Grande,Nova Fronteira
MT,Várzea Grande,Nova Várzea Grande
MT,Várzea Grande,Novo Mundo
MT,Várzea Grande,Paiaguás
MT,Várzea Grande,Pampulha
MT,Várzea Grande,Panamericano
MT,Várzea Grande,Parque Atlantico
MT,Várzea Grande,Parque Del Rei
MT,Várzea Grande,Parque do Lago
MT,Várzea Grande,Parque do Sabiá
MT,Várzea Grande,Petrópolis
MT,Várzea Grande,Ponte Nova
MT,Várzea Grande,Porto
MT,Várzea Grande,Primavera
MT,Várzea Grande,Pte. Nova
MT,Várzea Grande,Quinze de Maio
MT,Várzea Grande,Redencial Jequitiba
MT,Várzea Grande,Residencial J Domingos De Campos
MT,Várzea Grande,Residencial Jacarandá
MT,Várzea Grande,Residencial Jequitibá
MT,Várzea Grande,Residencial José Carlos Guimarães
MT,Várzea Grande,Residencial Julio Domingos De Campos
MT,Várzea Grande,Santa Isabel
MT,Várzea Grande,Santa Luzia
MT,Várzea Grande,São Marcos
MT,Várzea Grande,São Mateus
MT,Várzea Grande,São Matheus
MT,Várzea Grande,São Simão
MT,Várzea Grande,Solares Do Tarumã
MT,Várzea Grande,Unipark
MT,Várzea Grande,Vila Arthur
MT,Várzea Grande,Vila Ipiranga
MT,Várzea Grande,Vinte E Tres De Setembro
MT,Várzea Grande,Vitória Régia
MT,Várzea Grande,23 de Setembro
MT,Vera,Centro
MT,Vera,Genérico
MT,Vila Bela da Santíssima Trindade,Centro
MT,Vila Bela da Santíssima Trindade,Genérico
MT,Vila Rica,Centro
MT,Vila Rica,Genérico
MT,Vila Rica,Setor Norte
PA,Abaetetuba,Abaetetuba
PA,Abaetetuba,Centro
PA,Abaetetuba,Genérico
PA,Abel Figueiredo,Abel Figueiredo
PA,Abel Figueiredo,Centro
PA,Abel Figueiredo,Genérico
PA,Acará,Centro
PA,Acará,Genérico
PA,Afuá,Centro
PA,Afuá,Genérico
PA,Água Azul do Norte,Centro
PA,Água Azul do Norte,Genérico
PA,Alenquer,Camburão
PA,Alenquer,Centro
PA,Alenquer,Genérico
PA,Alenquer,Vila de Mamia
PA,Almeirim,Centro
PA,Almeirim,Genérico
PA,Almeirim,Vila de Munguba
PA,Altamira,Alberto Soares
PA,Altamira,Aparecida
PA,Altamira,Área Rural de Altamira
PA,Altamira,Bela Vista
PA,Altamira,Boa Esperança
PA,Altamira,Brasília
PA,Altamira,Catedral
PA,Altamira,Centro
PA,Altamira,Colinas
PA,Altamira,Esplanada do Xingú
PA,Altamira,Fortaleza
PA,Altamira,Genérico
PA,Altamira,Ibiza
PA,Altamira,Independente
PA,Altamira,Jardim Altamira
PA,Altamira,Jardim dos Estados
PA,Altamira,Jardim Independente I
PA,Altamira,Jardim Independente Ii
PA,Altamira,Jardim Independente Iii
PA,Altamira,Jardim Novo Paraíso
PA,Altamira,Jardim Primavera
PA,Altamira,Jardim Uirapuru
PA,Altamira,Liberdade
PA,Altamira,Mutirão
PA,Altamira,Nova Altamira
PA,Altamira,Perpétuo Socorro
PA,Altamira,Premem
PA,Altamira,Recreio
PA,Altamira,São Sebastião
PA,Altamira,Sudam I
PA,Altamira,Sudam Ii
PA,Anajás,Centro
PA,Anajás,Genérico
PA,Ananindeua,Águas Brancas
PA,Ananindeua,Águas Lindas
PA,Ananindeua,Área Rural de Ananindeua
PA,Ananindeua,Atalaia
PA,Ananindeua,Aurá
PA,Ananindeua,Centro
PA,Ananindeua,Cidade Nova
PA,Ananindeua,Coqueiro
PA,Ananindeua,Curuçambá
PA,Ananindeua,Distrito Industrial
PA,Ananindeua,Genérico
PA,Ananindeua,Guanabara
PA,Ananindeua,Icuí-Guajará
PA,Ananindeua,Icuí-Laranjeira
PA,Ananindeua,Ilha João Pilatos
PA,Ananindeua,Jibóia Branca
PA,Ananindeua,Levilândia
PA,Ananindeua,Maguari
PA,Ananindeua,Marituba
PA,Ananindeua,Pato Macho
PA,Ananindeua,Quarenta Horas (Coqueiro)
PA,Anapu,Centro
PA,Anapu,Genérico
PA,Augusto Corrêa,Centro
PA,Augusto Corrêa,Genérico
PA,Augusto Corrêa,Nazaré
PA,Augusto Corrêa,Nova Olinda
PA,Aurora do Pará,Centro
PA,Aurora do Pará,Genérico
PA,Aveiro,Centro
PA,Aveiro,Genérico
PA,Bagre,Centro
PA,Bagre,Genérico
PA,Baião,Baião
PA,Baião,Centro
PA,Baião,Genérico
PA,Baião,Rosário
PA,Bannach,Centro
PA,Bannach,Genérico
PA,Barcarena,Centro
PA,Barcarena,Comercial
PA,Barcarena,Genérico
PA,Barcarena,Vila do Conde
PA,Barcarena,Vila dos Cabanos
PA,Belém,Aeroporto (Mosqueiro)
PA,Belém,Água Boa (Outeiro)
PA,Belém,Águas Lindas
PA,Belém,Águas Negras (Icoaraci)
PA,Belém,Agulha (Icoaraci)
PA,Belém,Área Rural de Belém
PA,Belém,Ariramba (Mosqueiro)
PA,Belém,Atalaia
PA,Belém,Augusto Montenegro
PA,Belém,Aurá
PA,Belém,B. Campos
PA,Belém,Baía do Sol (Mosqueiro)
PA,Belém,Bairro Do Comércio
PA,Belém,Bairro Nazare
PA,Belém,Barreiro
PA,Belém,Batista Campo
PA,Belém,Batista Campos
PA,Belém,Bengui
PA,Belém,Bonfim (Mosqueiro)
PA,Belém,Brasília (Outeiro)
PA,Belém,Cabanagem
PA,Belém,Campina
PA,Belém,Campina de Icoaraci (Icoaraci)
PA,Belém,Canudos
PA,Belém,Carananduba (Mosqueiro)
PA,Belém,Caruara (Mosqueiro)
PA,Belém,Castanheira
PA,Belém,Cd
PA,Belém,Centro
PA,Belém,Chapéu Virado (Mosqueiro)
PA,Belém,Cidade Velha
PA,Belém,Comercial
PA,Belém,Comércio
PA,Belém,Condor
PA,Belém,Conj. Panorama XXI
PA,Belém,Conjunto Satélite
PA,Belém,Coqueiro
PA,Belém,Cordeiro de Farias
PA,Belém,Cremação
PA,Belém,Cidade Nova
PA,Belém,Cruzeiro (Icoaraci)
PA,Belém,Curió Utinga
PA,Belém,Curió-Utinga
PA,Belém,Cutijuba
PA,Belém,Farol (Mosqueiro)
PA,Belém,Fátima
PA,Belém,Genérico
PA,Belém,Guamá
PA,Belém,Girassol
PA,Belém,Guanabara
PA,Belém,Itaiteua (Outeiro)
PA,Belém,Icoaraci
PA,Belém,Icuí-Guajará
PA,Belém,Jurunas
PA,Belém,Mangueirão
PA,Belém,Mangueiras (Mosqueiro)
PA,Belém,Maracacuera (Icoaraci)
PA,Belém,Maracajá (Mosqueiro)
PA,Belém,Maracangalha
PA,Belém,Marahu (Mosqueiro)
PA,Belém,Mario Covas
PA,Belém,Maguari 
PA,Belém,Marambaia
PA,Belém,Marco
PA,Belém,Marex
PA,Belém,Miramar
PA,Belém,Montese Ou T Firme
PA,Belém,Murubira (Mosqueiro)
PA,Belém,Natal do Murubira (Mosqueiro)
PA,Belém,Nazaré
PA,Belém,Nazareth
PA,Belém,Paracuri (Icoaraci)
PA,Belém,Paraíso (Mosqueiro)
PA,Belém,Parque Guajará (Icoaraci)
PA,Belém,Parque Verde
PA,Belém,Pedreira
PA,Belém,Pedro Teixeira
PA,Belém,Ponta Grossa (Icoaraci)
PA,Belém,Porto Arthur (Mosqueiro)
PA,Belém,Praia Grande (Mosqueiro)
PA,Belém,Pratinha (Icoaraci)
PA,Belém,Reduto
PA,Belém,Rui Barbosa
PA,Belém,Sacramenta
PA,Belém,São Brás
PA,Belém,São Braz
PA,Belém,São Clemente
PA,Belém,São Francisco (Mosqueiro)
PA,Belém,São João do Outeiro (Outeiro)
PA,Belém,Sideral
PA,Belém,Souza
PA,Belém,Sucurijuquara (Mosqueiro)
PA,Belém,Tapanã 
PA,Belém,Tapanã (Icoaraci)
PA,Belém,Telégrafo
PA,Belém,Telégrafo Sem Fio
PA,Belém,Tenoné
PA,Belém,Terra Firme
PA,Belém,Umarizal
PA,Belém,Una
PA,Belém,Universitário
PA,Belém,Val De Caes
PA,Belém,Val-De-Cães
PA,Belém,Val-de-cans
PA,Belém,Vila (Mosqueiro)
PA,Belterra,Centro
PA,Belterra,Genérico
PA,Benevides,Centro
PA,Benevides,Genérico
PA,Benevides,Murinim
PA,Bom Jesus do Tocantins,Centro
PA,Bom Jesus do Tocantins,Genérico
PA,Bonito,Centro
PA,Bonito,Genérico
PA,Bragança,Centro
PA,Bragança,Genérico
PA,Brasil Novo,Centro
PA,Brasil Novo,Genérico
PA,Brejo Grande do Araguaia,Centro
PA,Brejo Grande do Araguaia,Feirinha
PA,Brejo Grande do Araguaia,Genérico
PA,Brejo Grande do Araguaia,Nova Vida
PA,Breu Branco,Centro
PA,Breu Branco,Genérico
PA,Breves,Centro
PA,Breves,Genérico
PA,Breves,Vila de Curumu
PA,Bujaru,Centro
PA,Bujaru,Genérico
PA,Cachoeira do Arari,Centro
PA,Cachoeira do Arari,Genérico
PA,Cachoeira do Piriá,Centro
PA,Cachoeira do Piriá,Genérico
PA,Cametá,Areião
PA,Cametá,Centro
PA,Cametá,Genérico
PA,Canaã dos Carajás,Centro
PA,Canaã dos Carajás,Genérico
PA,Capanema,Almir Gabriel
PA,Capanema,Área Rural de Capanema
PA,Capanema,Areia Branca
PA,Capanema,Caixa D'Água
PA,Capanema,Campinho
PA,Capanema,Centro
PA,Capanema,Dom João Vi
PA,Capanema,Fátima
PA,Capanema,Garrafão
PA,Capanema,Genérico
PA,Capanema,Igrejinha
PA,Capanema,Inussun
PA,Capanema,Motocros
PA,Capanema,Nazaré
PA,Capanema,Oliveira Brito
PA,Capanema,Pedreira
PA,Capanema,Primeira
PA,Capanema,Samambaia
PA,Capanema,Santa Cruz
PA,Capanema,Santa Luzia
PA,Capanema,São Cristóvão
PA,Capanema,São José
PA,Capanema,São Pedro e São Paulo
PA,Capanema,São Pio X
PA,Capanema,São Raimundo
PA,Capanema,Tancredo Neves
PA,Capanema,Três de Maio
PA,Capitão Poço,Centro
PA,Capitão Poço,Genérico
PA,Castanhal,
PA,Castanhal,Agrovila Iracema
PA,Castanhal,Ana Julia
PA,Castanhal,APEU LA BOCAO
PA,Castanhal,Apeú
PA,Castanhal,APU
PA,Castanhal,Bethania
PA,Castanhal,Betânia
PA,Castanhal,Bom Jesus
PA,Castanhal,Buritis
PA,Castanhal,Caiçara
PA,Castanhal,CAIÇARA/NOVO CAIÇARA
PA,Castanhal,CAMPOS ELISEOS
PA,Castanhal,Campos Elisios
PA,Castanhal,Cariri
PA,Castanhal,Centro
PA,Castanhal,Cenóbio
PA,Castanhal,COND. CAMPO BELO
PA,Castanhal,COND. CAMPO BELO BOCAO
PA,Castanhal,COND. FASANNO
PA,Castanhal,COND. FASANNO BOCAO
PA,Castanhal,COND. JARDIM SOLARES
PA,Castanhal,COND. JARDIM SOLARES BOCAO
PA,Castanhal,COND. PARQUE PARAISO
PA,Castanhal,COND. PARQUE PARAISO BOCAO
PA,Castanhal,COND. QUINTA DO BOSQUE
PA,Chaves,Centro
PA,Chaves,Genérico
PA,Colares,Centro
PA,Colares,Comunidade Fazenda
PA,Colares,Genérico
PA,Conceição do Araguaia,Centro
PA,Conceição do Araguaia,Genérico
PA,Concórdia do Pará,Centro
PA,Concórdia do Pará,Genérico
PA,Cumaru do Norte,Centro
PA,Cumaru do Norte,Genérico
PA,Curionópolis,Centro
PA,Curionópolis,Genérico
PA,Curralinho,Centro
PA,Curralinho,Genérico
PA,Curralinho,Marambaia
PA,Curralinho,Vila Piriá
PA,Curuá,Centro
PA,Curuá,Genérico
PA,Curuçá,Centro
PA,Curuçá,Genérico
PA,Dom Eliseu,Centro
PA,Dom Eliseu,Genérico
PA,Eldorado dos Carajás,Centro
PA,Eldorado dos Carajás,Genérico
PA,Faro,Centro
PA,Faro,Genérico
PA,Floresta do Araguaia,Centro
PA,Floresta do Araguaia,Genérico
PA,Garrafão do Norte,Centro
PA,Garrafão do Norte,Genérico
PA,Goianésia do Pará,Centro
PA,Goianésia do Pará,Genérico
PA,Goianésia do Pará,Janari
PA,Goianésia do Pará,Nossa Senhora Aparecida
PA,Gurupá,Centro
PA,Gurupá,Genérico
PA,Igarapé-Açu,Centro
PA,Igarapé-Açu,Genérico
PA,Igarapé-Miri,Centro
PA,Igarapé-Miri,Genérico
PA,Igarapé-Miri,Maiauatá
PA,Inhangapi,Centro
PA,Inhangapi,Genérico
PA,Inhangapi,Zona Rural
PA,Ipixuna do Pará,Centro
PA,Ipixuna do Pará,Genérico
PA,Irituia,Centro
PA,Irituia,Genérico
PA,Irituia,Vila de São Francisco
PA,Itaituba,Aeroporto Velho
PA,Itaituba,Área Rural de Itaituba
PA,Itaituba,Bela Vista
PA,Itaituba,Boa Esperança
PA,Itaituba,Bom Jardim
PA,Itaituba,Comércio
PA,Itaituba,Da Paz
PA,Itaituba,Do Bom Remédio
PA,Itaituba,Floresta
PA,Itaituba,Genérico
PA,Itaituba,Jardim Aeroporto
PA,Itaituba,Jardim América
PA,Itaituba,Jardim das Araras
PA,Itaituba,Liberdade
PA,Itaituba,Maria Magdalena
PA,Itaituba,Mesquitas
PA,Itaituba,Miritituba
PA,Itaituba,Nossa Senhora do Perpétuo Socorro
PA,Itaituba,Nova Itaituba
PA,Itaituba,Piracanã
PA,Itaituba,São Francisco
PA,Itaituba,Viva Itaituba
PA,Itupiranga,Castelo Branco
PA,Itupiranga,Genérico
PA,Itupiranga,Itupiranga
PA,Itupiranga,Vila Cajazeiras
PA,Itupiranga,Vila São Sebastião
PA,Jacareacanga,Central
PA,Jacareacanga,Genérico
PA,Jacundá,Centro
PA,Jacundá,Genérico
PA,Juruti,Centro
PA,Juruti,Genérico
PA,Limoeiro do Ajuru,Genérico
PA,Limoeiro do Ajuru,Matinha
PA,Mãe do Rio,Centro
PA,Mãe do Rio,Genérico
PA,Magalhães Barata,Centro
PA,Magalhães Barata,Genérico
PA,Magalhães Barata,Magalhaes Barata
PA,Magalhães Barata,Nazaré do Fugido
PA,Marabá,Amapá
PA,Marabá,Área Rural de Marabá
PA,Marabá,Belo Horizonte
PA,Marabá,Bom Planalto
PA,Marabá,Cidade Nova
PA,Marabá,Genérico
PA,Marabá,Independência
PA,Marabá,Jardim União
PA,Marabá,Jardim Vitória
PA,Marabá,Laranjeira
PA,Marabá,Liberdade
PA,Marabá,Loteamento Novo Progresso
PA,Marabá,Mirante do Vale
PA,Marabá,Morada Nova
PA,Marabá,Nova Marabá
PA,Marabá,Novo Horizonte
PA,Marabá,São Félix I
PA,Marabá,São Félix Ii
PA,Marabá,São Félix Iii
PA,Marabá,São Félix Pioneiro
PA,Marabá,São João
PA,Marabá,Vale do Aeroporto
PA,Marabá,Velha Marabá
PA,Marabá,Vila São José
PA,Maracanã,Centro
PA,Maracanã,Genérico
PA,Marapanim,Centro
PA,Marapanim,Genérico
PA,Marapanim,Vila Mauaense
PA,Marituba,Bela Vista
PA,Marituba,Centro
PA,Marituba,Genérico
PA,Medicilândia,Centro
PA,Medicilândia,Genérico
PA,Medicilândia,Medicilândia
PA,Medicilândia,Vila de Jarbas Passarinho
PA,Medicilândia,Vila de Nova Fronteira
PA,Melgaço,Centro
PA,Melgaço,Genérico
PA,Mocajuba,Centro
PA,Mocajuba,Genérico
PA,Moju,Centro
PA,Moju,Genérico
PA,Mojuí dos Campos,Centro
PA,Mojuí dos Campos,Genérico
PA,Monte Alegre,Genérico
PA,Monte Alegre,Monte Alegre
PA,Monte Alegre,Serra Oriental
PA,Muaná,Centro
PA,Muaná,Genérico
PA,Nova Esperança do Piriá,Centro
PA,Nova Esperança do Piriá,Genérico
PA,Nova Ipixuna,Centro
PA,Nova Ipixuna,Genérico
PA,Nova Timboteua,Centro
PA,Nova Timboteua,Genérico
PA,Nova Timboteua,Nova Timboteua
PA,Novo Progresso,Centro
PA,Novo Progresso,Genérico
PA,Novo Progresso,Moraes Almeida
PA,Novo Progresso,Santa Luzia
PA,Novo Repartimento,Belo Monte
PA,Novo Repartimento,Espigão
PA,Novo Repartimento,Genérico
PA,Novo Repartimento,Uirapuru
PA,Óbidos,Centro
PA,Óbidos,Genérico
PA,Oeiras do Pará,Centro
PA,Oeiras do Pará,Genérico
PA,Oriximiná,Centro
PA,Oriximiná,Genérico
PA,Ourém,Centro
PA,Ourém,Genérico
PA,Ourilândia do Norte,Centro
PA,Ourilândia do Norte,Genérico
PA,Ourilândia do Norte,Novo Horizonte
PA,Pacajá,Centro
PA,Pacajá,Comercial
PA,Pacajá,Genérico
PA,Pacajá,Nazaré
PA,Pacajá,Vila de Bom Jardim
PA,Palestina do Pará,Centro
PA,Palestina do Pará,Genérico
PA,Paragominas,Andradina
PA,Paragominas,Angelim
PA,Paragominas,Aragão
PA,Paragominas,Área Rural de Paragominas
PA,Paragominas,Bela Vista
PA,Paragominas,Camboatã
PA,Paragominas,Célio Miranda
PA,Paragominas,Cidade Nova
PA,Paragominas,Genérico
PA,Paragominas,Guanabara
PA,Paragominas,Industrial
PA,Paragominas,Jaderlândia
PA,Paragominas,Jardim Atlântico
PA,Paragominas,Jardim Camboatã II
PA,Paragominas,Juparanã
PA,Paragominas,Laércio Cabeline
PA,Paragominas,Módulo II
PA,Paragominas,Morada do Sol
PA,Paragominas,Nagibão
PA,Paragominas,Nova Conquista
PA,Paragominas,Novo Camboatã
PA,Paragominas,Paraíso
PA,Paragominas,Parque das Américas
PA,Paragominas,Parque Village Flamboyant
PA,Paragominas,Presidente Juscelino
PA,Paragominas,Promissão
PA,Paragominas,Promissão I
PA,Paragominas,Promissão II
PA,Paragominas,Promissão III
PA,Paragominas,Promissão IV
PA,Paragominas,Setor Industrial
PA,Paragominas,Tião Mineiro
PA,Paragominas,Trecho Seco
PA,Paragominas,Tropical
PA,Paragominas,Uraim
PA,Paragominas,Uraim II
PA,Paragominas,Uraim III
PA,Paragominas,Vila Rica
PA,Parauapebas,Beira Rio II
PA,Parauapebas,Centro
PA,Parauapebas,Cidade Nova
PA,Parauapebas,Genérico
PA,Parauapebas,Rio Verde
PA,Parauapebas,Vila da Paz
PA,Pau D'Arco,Centro
PA,Pau D'Arco,Genérico
PA,Peixe-Boi,Centro
PA,Peixe-Boi,Genérico
PA,Piçarra,Centro
PA,Piçarra,Genérico
PA,Placas,Centro
PA,Placas,Genérico
PA,Ponta de Pedras,Centro
PA,Ponta de Pedras,Genérico
PA,Portel,Centro
PA,Portel,Genérico
PA,Porto de Moz,Centro
PA,Porto de Moz,Genérico
PA,Prainha,Centro
PA,Prainha,Genérico
PA,Prainha,Paz
PA,Primavera,Centro
PA,Primavera,Genérico
PA,Quatipuru,Centro
PA,Quatipuru,Genérico
PA,Quatipuru,Quatipuru
PA,Redenção,Ademar Guimarães
PA,Redenção,Alto Paraná
PA,Redenção,Área Rural de Redenção
PA,Redenção,Aripuana
PA,Redenção,Átila Douglas
PA,Redenção,Bela Vista
PA,Redenção,Campos Altos
PA,Redenção,Capuava
PA,Redenção,Casas Populares
PA,Redenção,Frigorífico
PA,Redenção,Genérico
PA,Redenção,Independência
PA,Redenção,Jardim América
PA,Redenção,Jardim Ariane
PA,Redenção,Jardim Cumaru
PA,Redenção,Jardim Lucena
PA,Redenção,Jardim Umuarama
PA,Redenção,Loteamento Tropical
PA,Redenção,Marechal Rondon
PA,Redenção,Marechal Rondon II
PA,Redenção,Morada da Paz
PA,Redenção,Novo Horizonte
PA,Redenção,Núcleo Urbano
PA,Redenção,Park dos Buritis
PA,Redenção,Park dos Buritis II
PA,Redenção,Park dos Burutis III
PA,Redenção,Planalto
PA,Redenção,Residencial Ipê
PA,Redenção,Santos Dumont
PA,Redenção,São José
PA,Redenção,Serrinha
PA,Redenção,Setor Oeste
PA,Redenção,Vale da Serra
PA,Redenção,Vila Amorim
PA,Redenção,Vila Feliz
PA,Redenção,Vila Paulista
PA,Redenção,Viviane
PA,Rio Maria,Centro
PA,Rio Maria,Genérico
PA,Rondon do Pará,Centro
PA,Rondon do Pará,Genérico
PA,Rurópolis,Centro
PA,Rurópolis,Genérico
PA,Rurópolis,Vila de Divinópolis
PA,Salinópolis,Centro
PA,Salinópolis,Genérico
PA,Salinópolis,Zona Rural
PA,Salvaterra,Centro
PA,Salvaterra,Genérico
PA,Santa Bárbara do Pará,Centro
PA,Santa Bárbara do Pará,Genérico
PA,Santa Cruz do Arari,Centro
PA,Santa Cruz do Arari,Genérico
PA,Santa Isabel do Pará,Centro
PA,Santa Isabel do Pará,Genérico
PA,Santa Luzia do Pará,Centro
PA,Santa Luzia do Pará,Genérico
PA,Santa Maria das Barreiras,Centro
PA,Santa Maria das Barreiras,Genérico
PA,Santa Maria das Barreiras,Nova Esperança
PA,Santa Maria das Barreiras,São João Batista
PA,Santa Maria do Pará,Centro
PA,Santa Maria do Pará,Genérico
PA,Santa Maria do Pará,Vila de São Paulo
PA,Santa Maria do Pará,Vila de Taciteua
PA,Santana do Araguaia,Centro
PA,Santana do Araguaia,Genérico
PA,Santarém,Aeroporto Velho
PA,Santarém,Aldeia
PA,Santarém,Alter do Chão
PA,Santarém,Alvorada
PA,Santarém,Amparo
PA,Santarém,Aparecida
PA,Santarém,Área Rural de Santarém
PA,Santarém,Área Verde
PA,Santarém,Bela Vista
PA,Santarém,Cambuquira
PA,Santarém,Caranazal
PA,Santarém,Centro
PA,Santarém,Cipoal
PA,Santarém,Conquista
PA,Santarém,Diamantino
PA,Santarém,Elcione Barbalho
PA,Santarém,Esperança
PA,Santarém,Fátima
PA,Santarém,Floresta
PA,Santarém,Genérico
PA,Santarém,Interventoria
PA,Santarém,Ipanema
PA,Santarém,Jardim das Palmeiras
PA,Santarém,Jardim Santarém
PA,Santarém,Jutaí
PA,Santarém,Laguinho
PA,Santarém,Liberdade
PA,Santarém,Livramento
PA,Santarém,Maicá
PA,Santarém,Mapiri
PA,Santarém,Maracanã
PA,Santarém,Maracanã  I
PA,Santarém,Mararú
PA,Santarém,Matinha
PA,Santarém,Nova República
PA,Santarém,Nova República II
PA,Santarém,Nova Vitória
PA,Santarém,Novo Horizonte
PA,Santarém,Pérola do Maicá
PA,Santarém,Praia
PA,Santarém,Prainha
PA,Santarém,Rodagem
PA,Santarém,Salé
PA,Santarém,Salvação
PA,Santarém,Santa Clara
PA,Santarém,Santana
PA,Santarém,Santarenzinho
PA,Santarém,Santíssimo
PA,Santarém,Santo André
PA,Santarém,São Cristóvão
PA,Santarém,São Francisco
PA,Santarém,São José Operário
PA,Santarém,Uruará
PA,Santarém,Urumari
PA,Santarém,Vigia
PA,Santarém,Vila Planalto
PA,Santarém,Vitória Régia
PA,Santarém Novo,Centro
PA,Santarém Novo,Genérico
PA,Santo Antônio do Tauá,Centro
PA,Santo Antônio do Tauá,Genérico
PA,São Caetano de Odivelas,Centro
PA,São Caetano de Odivelas,Genérico
PA,São Caetano de Odivelas,Umarizal
PA,São Domingos do Araguaia,Centro
PA,São Domingos do Araguaia,Genérico
PA,São Domingos do Capim,Centro
PA,São Domingos do Capim,Genérico
PA,São Domingos do Capim,Nazaré
PA,São Félix do Xingu,Centro
PA,São Félix do Xingu,Genérico
PA,São Félix do Xingu,Vila de Nereu
PA,São Francisco do Pará,Centro
PA,São Francisco do Pará,Genérico
PA,São Geraldo do Araguaia,Centro
PA,São Geraldo do Araguaia,Genérico
PA,São Geraldo do Araguaia,São Geraldo do Araguaia
PA,São Geraldo do Araguaia,Vila Fortaleza
PA,São Geraldo do Araguaia,Vila Paraíso
PA,São João da Ponta,Centro
PA,São João da Ponta,Genérico
PA,São João da Ponta,São João da Ponta
PA,São João de Pirabas,Bacuri
PA,São João de Pirabas,Genérico
PA,São João do Araguaia,Centro
PA,São João do Araguaia,Genérico
PA,São Miguel do Guamá,Centro
PA,São Miguel do Guamá,Cidade Velha
PA,São Miguel do Guamá,Genérico
PA,São Sebastião da Boa Vista,Centro
PA,São Sebastião da Boa Vista,Genérico
PA,Sapucaia,Centro
PA,Sapucaia,Genérico
PA,Senador José Porfírio,Centro
PA,Senador José Porfírio,Genérico
PA,Soure,Centro
PA,Soure,Genérico
PA,Tailândia,Centro
PA,Tailândia,Genérico
PA,Tailândia,Tailândia
PA,Terra Alta,Centro
PA,Terra Alta,Genérico
PA,Terra Santa,Aparecida
PA,Terra Santa,Centro
PA,Terra Santa,Genérico
PA,Tomé-Açú,Centro
PA,Tomé-Açú,Genérico
PA,Tomé-Açú,Vila Forquilha
PA,Tomé-Açú,Zona Rural
PA,Tracuateua,Centro
PA,Tracuateua,Genérico
PA,Trairão,Bela Vista
PA,Trairão,Centro
PA,Trairão,Genérico
PA,Tucumã,Aeroporto
PA,Tucumã,Centro
PA,Tucumã,Genérico
PA,Tucuruí,Área Rural de Tucuruí
PA,Tucuruí,Beira Rio
PA,Tucuruí,Bela Vista
PA,Tucuruí,Belém
PA,Tucuruí,Bom Jesus
PA,Tucuruí,Caripe
